id,text,processed_text
2661,CHARLTON GA,charlton ga
2662,CHASE KS,chase k
2663,CHASE NE,chase ne
2664,CHATHAM GA,chatham ga
2665,CHATHAM NC,chatham nc
2666,CHATTAHOOCHEE GA,chattahoochee ga
2667,CHATTOOGA GA,chattooga ga
2668,CHAUTAUQUA KS,chautauqua k
2669,CHAUTAUQUA NY,chautauqua ny
2670,CHAVES NM,chaves nm
2671,CHEATHAM TN,cheatham tn
2672,CHEBOYGAN MI,cheboygan mi
2673,CHELAN WA,chelan wa
2674,CHEMUNG NY,chemung ny
2675,CHENANGO NY,chenango ny
2676,CHEROKEE AL,cherokee al
2677,CHEROKEE GA,cherokee ga
2678,CHEROKEE IA,cherokee ia
2679,CHEROKEE KS,cherokee k
2680,CHEROKEE NC,cherokee nc
2681,CHEROKEE OK,cherokee ok
2682,CHEROKEE SC,cherokee sc
2683,CHEROKEE TX,cherokee tx
2684,CHERRY NE,cherry ne
2685,CHESAPEAKE CITY VA,chesapeake city va
2686,CHESHIRE NH,cheshire nh
2687,CHESTER PA,chester pa
2688,CHESTER SC,chester sc
2689,CHESTER TN,chester tn
2690,CHESTERFIELD SC,chesterfield sc
2691,CHESTERFIELD VA,chesterfield va
2692,CHEYENNE CO,cheyenne co
2693,CHEYENNE KS,cheyenne k
2694,CHEYENNE NE,cheyenne ne
2695,CHICKASAW IA,chickasaw ia
2696,CHICKASAW MS,chickasaw m
2697,CHICOT AR,chicot ar
2698,CHILDRESS TX,childress tx
2699,CHILTON AL,chilton al
2700,CHIPPEWA MI,chippewa mi
2701,CHIPPEWA MN,chippewa mn
2702,CHIPPEWA WI,chippewa wi
2703,CHISAGO MN,chisago mn
2704,CHITTENDEN VT,chittenden vt
2705,CHOCTAW AL,choctaw al
2706,CHOCTAW MS,choctaw m
2707,CHOCTAW OK,choctaw ok
2708,CHOUTEAU MT,chouteau mt
2709,CHOWAN NC,chowan nc
2710,CHRISTIAN IL,christian il
2711,CHRISTIAN KY,christian ky
2712,CHRISTIAN MO,christian mo
2713,CHURCHILL NV,churchill nv
2714,CIBOLA NM,cibola nm
2715,CIMARRON OK,cimarron ok
2716,CITRUS FL,citrus fl
2717,CLACKAMAS OR,clackamas
2718,CLAIBORNE LA,claiborne la
2719,CLAIBORNE MS,claiborne m
2720,CLAIBORNE TN,claiborne tn
2721,CLALLAM WA,clallam wa
2722,CLARE MI,clare mi
2723,CLARENDON SC,clarendon sc
2724,CLARION PA,clarion pa
2725,CLARK AR,clark ar
2726,CLARK ID,clark id
2727,CLARK IL,clark il
2728,CLARK IN,clark
2729,CLARK KS,clark k
2730,CLARK KY,clark ky
2731,CLARK MO,clark mo
2732,CLARK NV,clark nv
2733,CLARK OH,clark oh
2734,CLARK SD,clark sd
2735,CLARK WA,clark wa
2736,CLARK WI,clark wi
2737,CLARKE AL,clarke al
2738,CLARKE GA,clarke ga
2739,CLARKE IA,clarke ia
2740,CLARKE MS,clarke m
2741,CLARKE VA,clarke va
2742,CLATSOP OR,clatsop
2743,CLAY AL,clay al
2744,CLAY AR,clay ar
2745,CLAY FL,clay fl
2746,CLAY GA,clay ga
2747,CLAY IA,clay ia
2748,CLAY IL,clay il
2749,CLAY IN,clay
2750,CLAY KS,clay k
2751,CLAY KY,clay ky
2752,CLAY MN,clay mn
2753,CLAY MO,clay mo
2754,CLAY MS,clay m
2755,CLAY NC,clay nc
2756,CLAY NE,clay ne
2757,CLAY SD,clay sd
2758,CLAY TN,clay tn
2759,CLAY TX,clay tx
2760,CLAY WV,clay wv
2761,CLAYTON GA,clayton ga
2762,CLAYTON IA,clayton ia
2763,CLEAR CREEK CO,clear creek co
2764,CLEARFIELD PA,clearfield pa
2765,CLEARWATER ID,clearwater id
2766,CLEARWATER MN,clearwater mn
2767,CLEBURNE AL,cleburne al
2768,CLEBURNE AR,cleburne ar
2769,CLERMONT OH,clermont oh
2770,CLEVELAND AR,cleveland ar
2771,CLEVELAND NC,cleveland nc
2772,CLEVELAND OK,cleveland ok
2773,CLINCH GA,clinch ga
2774,CLINTON IA,clinton ia
2775,CLINTON IL,clinton il
2776,CLINTON IN,clinton
2777,CLINTON KY,clinton ky
2778,CLINTON MI,clinton mi
2779,CLINTON MO,clinton mo
2780,CLINTON NY,clinton ny
2781,CLINTON OH,clinton oh
2782,CLINTON PA,clinton pa
2783,CLOUD KS,cloud k
2784,COAHOMA MS,coahoma m
2785,COAL OK,coal ok
2786,COBB GA,cobb ga
2787,COCHISE AZ,cochise az
2788,COCHRAN TX,cochran tx
2789,COCKE TN,cocke tn
2790,COCONINO AZ,coconino az
2791,CODINGTON SD,codington sd
2792,COFFEE AL,coffee al
2793,COFFEE GA,coffee ga
2794,COFFEE TN,coffee tn
2795,COFFEY KS,coffey k
2796,COKE TX,coke tx
2797,COLBERT AL,colbert al
2798,COLE MO,cole mo
2799,COLEMAN TX,coleman tx
2800,COLES IL,cole il
2801,COLFAX NE,colfax ne
2802,COLFAX NM,colfax nm
2803,COLLETON SC,colleton sc
2804,COLLIER FL,collier fl
2805,COLLIN TX,collin tx
2806,COLLINGSWORTH TX,collingsworth tx
2807,COLONIAL HEIGHTS CITY VA,colonial height city va
2808,COLORADO TX,colorado tx
2809,COLQUITT GA,colquitt ga
2810,COLUMBIA AR,columbia ar
2811,COLUMBIA FL,columbia fl
2812,COLUMBIA GA,columbia ga
2813,COLUMBIA NY,columbia ny
2814,COLUMBIA OR,columbia
2815,COLUMBIA PA,columbia pa
2816,COLUMBIA WA,columbia wa
2817,COLUMBIA WI,columbia wi
2818,COLUMBIANA OH,columbiana oh
2819,COLUMBUS NC,columbus nc
2820,COLUSA CA,colusa ca
2821,COMAL TX,comal tx
2822,COMANCHE KS,comanche k
2823,COMANCHE OK,comanche ok
2824,COMANCHE TX,comanche tx
2825,CONCHO TX,concho tx
2826,CONCORDIA LA,concordia la
2827,CONECUH AL,conecuh al
2828,CONEJOS CO,conejos co
2829,CONTRA COSTA CA,contra costa ca
2830,CONVERSE WY,converse wy
2831,CONWAY AR,conway ar
2832,COOK GA,cook ga
2833,COOK IL,cook il
2834,COOK MN,cook mn
2835,COOKE TX,cooke tx
2836,COOPER MO,cooper mo
2837,COOS NH,coo nh
2838,COOS OR,coo
2839,COOSA AL,coosa al
2840,COPIAH MS,copiah m
2841,CORSON SD,corson sd
2842,CORTLAND NY,cortland ny
2843,CORYELL TX,coryell tx
2844,COSHOCTON OH,coshocton oh
2845,COSTILLA CO,costilla co
2846,COTTLE TX,cottle tx
2847,COTTON OK,cotton ok
2848,COTTONWOOD MN,cottonwood mn
2849,COVINGTON CITY VA,covington city va
2850,COVINGTON AL,covington al
2851,COVINGTON MS,covington m
2852,COWETA GA,coweta ga
2853,COWLEY KS,cowley k
2854,COWLITZ WA,cowlitz wa
2855,CRAIG OK,craig ok
2856,CRAIG VA,craig va
2857,CRAIGHEAD AR,craighead ar
2858,CRANE TX,crane tx
2859,CRAVEN NC,craven nc
2860,CRAWFORD AR,crawford ar
2861,CRAWFORD GA,crawford ga
2862,CRAWFORD IA,crawford ia
2863,CRAWFORD IL,crawford il
2864,CRAWFORD IN,crawford
2865,CRAWFORD KS,crawford k
2866,CRAWFORD MI,crawford mi
2867,CRAWFORD MO,crawford mo
2868,CRAWFORD OH,crawford oh
2869,CRAWFORD PA,crawford pa
2870,CRAWFORD WI,crawford wi
2871,CREEK OK,creek ok
2872,CRENSHAW AL,crenshaw al
2873,CRISP GA,crisp ga
2874,CRITTENDEN AR,crittenden ar
2875,CRITTENDEN KY,crittenden ky
2876,CROCKETT TN,crockett tn
2877,CROCKETT TX,crockett tx
2878,CROOK OR,crook
2879,CROOK WY,crook wy
2880,CROSBY TX,crosby tx
2881,CROSS AR,cross ar
2882,CROW WING MN,crow wing mn
2883,CROWLEY CO,crowley co
2884,CULBERSON TX,culberson tx
2885,CULLMAN AL,cullman al
2886,CULPEPER VA,culpeper va
2887,CUMBERLAND IL,cumberland il
2888,CUMBERLAND KY,cumberland ky
2889,CUMBERLAND ME,cumberland
2890,CUMBERLAND NC,cumberland nc
2891,CUMBERLAND NJ,cumberland nj
2892,CUMBERLAND PA,cumberland pa
2893,CUMBERLAND TN,cumberland tn
2894,CUMBERLAND VA,cumberland va
2895,CUMING NE,cuming ne
2896,CURRITUCK NC,currituck nc
2897,CURRY NM,curry nm
2898,CURRY OR,curry
2899,CUSTER CO,custer co
2900,CUSTER ID,custer id
2901,CUSTER MT,custer mt
2902,CUSTER NE,custer ne
2903,CUSTER OK,custer ok
2904,CUSTER SD,custer sd
2905,CUYAHOGA OH,cuyahoga oh
2906,DADE GA,dade ga
2907,DADE MO,dade mo
2908,DAGGETT UT,daggett ut
2909,DAKOTA MN,dakota mn
2910,DAKOTA NE,dakota ne
2911,DALE AL,dale al
2912,DALLAM TX,dallam tx
2913,DALLAS AL,dallas al
2914,DALLAS AR,dallas ar
2915,DALLAS IA,dallas ia
2916,DALLAS MO,dallas mo
2917,DALLAS TX,dallas tx
2918,DANE WI,dane wi
2919,DANIELS MT,daniel mt
2920,DANVILLE CITY VA,danville city va
2921,DARE NC,dare nc
2922,DARKE OH,darke oh
2923,DARLINGTON SC,darlington sc
2924,DAUPHIN PA,dauphin pa
2925,DAVIDSON NC,davidson nc
2926,DAVIDSON TN,davidson tn
2927,DAVIE NC,davie nc
2928,DAVIESS IN,davy
2929,DAVIESS KY,davy ky
2930,DAVIESS MO,davy mo
2931,DAVIS IA,davis ia
2932,DAVIS UT,davis ut
2933,DAVISON SD,davison sd
2934,DAWES NE,dawes ne
2935,DAWSON GA,dawson ga
2936,DAWSON MT,dawson mt
2937,DAWSON NE,dawson ne
2938,DAWSON TX,dawson tx
2939,DAY SD,day sd
2940,DE BACA NM,de baca nm
2941,DE KALB AL,de kalb al
2942,DE KALB IN,de kalb
2943,DE SOTO FL,de soto fl
2944,DE SOTO LA,de soto la
2945,DE WITT TX,de witt tx
2946,DEAF SMITH TX,deaf smith tx
2947,DEARBORN IN,dearborn
2948,DECATUR GA,decatur ga
2949,DECATUR IA,decatur ia
2950,DECATUR IN,decatur
2951,DECATUR KS,decatur k
2952,DECATUR TN,decatur tn
2953,DEER LODGE MT,deer lodge mt
2954,DEFIANCE OH,defiance oh
2955,DEKALB GA,dekalb ga
2956,DEKALB IL,dekalb il
2957,DEKALB MO,dekalb mo
2958,DEKALB TN,dekalb tn
2959,DEL NORTE CA,del norte ca
2960,DELAWARE IA,delaware ia
2961,DELAWARE IN,delaware
2962,DELAWARE NY,delaware ny
2963,DELAWARE OH,delaware oh
2964,DELAWARE OK,delaware ok
2965,DELAWARE PA,delaware pa
2966,DELTA CO,delta co
2967,DELTA MI,delta mi
2968,DELTA TX,delta tx
2969,DENALI AK,denali ak
2970,DENT MO,dent mo
2971,DENTON TX,denton tx
2972,DENVER CO,denver co
2973,DES MOINES IA,de moines ia
2974,DESCHUTES OR,deschutes
2975,DESHA AR,desha ar
2976,DESOTO MS,desoto m
2977,DEUEL NE,deuel ne
2978,DEUEL SD,deuel sd
2979,DEWEY OK,dewey ok
2980,DEWEY SD,dewey sd
2981,DEWITT IL,dewitt il
2982,DICKENS TX,dickens tx
2983,DICKENSON VA,dickenson va
2984,DICKEY ND,dickey nd
2985,DICKINSON IA,dickinson ia
2986,DICKINSON KS,dickinson k
2987,DICKINSON MI,dickinson mi
2988,DICKSON TN,dickson tn
2989,DILLINGHAM AK,dillingham ak
2990,DILLON SC,dillon sc
2991,DIMMIT TX,dimmit tx
2992,DINWIDDIE VA,dinwiddie va
2993,DISTRICT OF COLUMBIA DC,district columbia dc
2994,DIVIDE ND,divide nd
2995,DIXIE FL,dixie fl
2996,DIXON NE,dixon ne
2997,DODDRIDGE WV,doddridge wv
2998,DODGE GA,dodge ga
2999,DODGE MN,dodge mn
3000,DODGE NE,dodge ne
3001,DODGE WI,dodge wi
3002,DOLORES CO,dolores co
3003,DONA ANA NM,dona ana nm
3004,DONIPHAN KS,doniphan k
3005,DONLEY TX,donley tx
3006,DOOLY GA,dooly ga
3007,DOOR WI,door wi
3008,DORCHESTER MD,dorchester md
3009,DORCHESTER SC,dorchester sc
3010,DOUGHERTY GA,dougherty ga
3011,DOUGLAS CO,douglas co
3012,DOUGLAS GA,douglas ga
3013,DOUGLAS IL,douglas il
3014,DOUGLAS KS,douglas k
3015,DOUGLAS MN,douglas mn
3016,DOUGLAS MO,douglas mo
3017,DOUGLAS NE,douglas ne
3018,DOUGLAS NV,douglas nv
3019,DOUGLAS OR,douglas
3020,DOUGLAS SD,douglas sd
3021,DOUGLAS WA,douglas wa
3022,DOUGLAS WI,douglas wi
3023,DREW AR,drew ar
3024,DUBOIS IN,dubois
3025,DUBUQUE IA,dubuque ia
3026,DUCHESNE UT,duchesne ut
3027,DUKES MA,duke
3028,DUNDY NE,dundy ne
3029,DUNKLIN MO,dunklin mo
3030,DUNN ND,dunn nd
3031,DUNN WI,dunn wi
3032,DUPAGE IL,dupage il
3033,DUPLIN NC,duplin nc
3034,DURHAM NC,durham nc
3035,DUTCHESS NY,dutch ny
3036,DUVAL FL,duval fl
3037,DUVAL TX,duval tx
3038,DYER TN,dyer tn
3039,EAGLE CO,eagle co
3040,EARLY GA,early ga
3041,EAST BATON ROUGE LA,east baton rouge la
3042,EAST CARROLL LA,east carroll la
3043,EAST FELICIANA LA,east feliciana la
3044,EASTLAND TX,eastland tx
3045,EATON MI,eaton mi
3046,EAU CLAIRE WI,eau claire wi
3047,ECHOLS GA,echols ga
3048,ECTOR TX,ector tx
3049,EDDY ND,eddy nd
3050,EDDY NM,eddy nm
3051,EDGAR IL,edgar il
3052,EDGECOMBE NC,edgecombe nc
3053,EDGEFIELD SC,edgefield sc
3054,EDMONSON KY,edmonson ky
3055,EDMUNDS SD,edmunds sd
3056,EDWARDS IL,edward il
3057,EDWARDS KS,edward k
3058,EDWARDS TX,edward tx
3059,EFFINGHAM GA,effingham ga
3060,EFFINGHAM IL,effingham il
3061,EL DORADO CA,el dorado ca
3062,EL PASO CO,el paso co
3063,EL PASO TX,el paso tx
3064,ELBERT CO,elbert co
3065,ELBERT GA,elbert ga
3066,ELK KS,elk k
3067,ELK PA,elk pa
3068,ELKHART IN,elkhart
3069,ELKO NV,elko nv
3070,ELLIOTT KY,elliott ky
3071,ELLIS KS,elli k
3072,ELLIS OK,elli ok
3073,ELLIS TX,elli tx
3074,ELLSWORTH KS,ellsworth k
3075,ELMORE AL,elmore al
3076,ELMORE ID,elmore id
3077,EMANUEL GA,emanuel ga
3078,EMERY UT,emery ut
3079,EMMET IA,emmet ia
3080,EMMET MI,emmet mi
3081,EMMONS ND,emmons nd
3082,EMPORIA CITY VA,emporium city va
3083,ERATH TX,erath tx
3084,ERIE NY,erie ny
3085,ERIE OH,erie oh
3086,ERIE PA,erie pa
3087,ESCAMBIA AL,escambia al
3088,ESCAMBIA FL,escambia fl
3089,ESMERALDA NV,esmeralda nv
3090,ESSEX MA,essex
3091,ESSEX NJ,essex nj
3092,ESSEX NY,essex ny
3093,ESSEX VA,essex va
3094,ESSEX VT,essex vt
3095,ESTILL KY,estill ky
3096,ETOWAH AL,etowah al
3097,EUREKA NV,eureka nv
3098,EVANGELINE LA,evangeline la
3099,EVANS GA,evans ga
3100,FAIRBANKS NORTH STAR AK,fairbanks north star ak
3101,FAIRFAX CITY VA,fairfax city va
3102,FAIRFAX VA,fairfax va
3103,FAIRFIELD CT,fairfield ct
3104,FAIRFIELD OH,fairfield oh
3105,FAIRFIELD SC,fairfield sc
3106,FALL RIVER SD,fall river sd
3107,FALLON MT,fallon mt
3108,FALLS CHURCH CITY VA,fall church city va
3109,FALLS TX,fall tx
3110,FANNIN GA,fannin ga
3111,FANNIN TX,fannin tx
3112,FARIBAULT MN,faribault mn
3113,FAULK SD,faulk sd
3114,FAULKNER AR,faulkner ar
3115,FAUQUIER VA,fauquier va
3116,FAYETTE AL,fayette al
3117,FAYETTE GA,fayette ga
3118,FAYETTE IA,fayette ia
3119,FAYETTE IL,fayette il
3120,FAYETTE IN,fayette
3121,FAYETTE KY,fayette ky
3122,FAYETTE OH,fayette oh
3123,FAYETTE PA,fayette pa
3124,FAYETTE TN,fayette tn
3125,FAYETTE TX,fayette tx
3126,FAYETTE WV,fayette wv
3127,FENTRESS TN,fentress tn
3128,FERGUS MT,fergus mt
3129,FERRY WA,ferry wa
3130,FILLMORE MN,fillmore mn
3131,FILLMORE NE,fillmore ne
3132,FINNEY KS,finney k
3133,FISHER TX,fisher tx
3134,FLAGLER FL,flagler fl
3135,FLATHEAD MT,flathead mt
3136,FLEMING KY,fleming ky
3137,FLORENCE SC,florence sc
3138,FLORENCE WI,florence wi
3139,FLOYD GA,floyd ga
3140,FLOYD IA,floyd ia
3141,FLOYD IN,floyd
3142,FLOYD KY,floyd ky
3143,FLOYD TX,floyd tx
3144,FLOYD VA,floyd va
3145,FLUVANNA VA,fluvanna va
3146,FOARD TX,foard tx
3147,FOND DU LAC WI,fond du lac wi
3148,FORD IL,ford il
3149,FORD KS,ford k
3150,FOREST PA,forest pa
3151,FOREST WI,forest wi
3152,FORREST MS,forrest m
3153,FORSYTH GA,forsyth ga
3154,FORSYTH NC,forsyth nc
3155,FORT BEND TX,fort bend tx
3156,FOSTER ND,foster nd
3157,FOUNTAIN IN,fountain
3158,FRANKLIN CITY VA,franklin city va
3159,FRANKLIN AL,franklin al
3160,FRANKLIN AR,franklin ar
3161,FRANKLIN FL,franklin fl
3162,FRANKLIN GA,franklin ga
3163,FRANKLIN IA,franklin ia
3164,FRANKLIN ID,franklin id
3165,FRANKLIN IL,franklin il
3166,FRANKLIN IN,franklin
3167,FRANKLIN KS,franklin k
3168,FRANKLIN KY,franklin ky
3169,FRANKLIN LA,franklin la
3170,FRANKLIN MA,franklin
3171,FRANKLIN ME,franklin
3172,FRANKLIN MO,franklin mo
3173,FRANKLIN MS,franklin m
3174,FRANKLIN NC,franklin nc
3175,FRANKLIN NE,franklin ne
3176,FRANKLIN NY,franklin ny
3177,FRANKLIN OH,franklin oh
3178,FRANKLIN PA,franklin pa
3179,FRANKLIN TN,franklin tn
3180,FRANKLIN TX,franklin tx
3181,FRANKLIN VA,franklin va
3182,FRANKLIN VT,franklin vt
3183,FRANKLIN WA,franklin wa
3184,FREDERICK MD,frederick md
3185,FREDERICK VA,frederick va
3186,FREDERICKSBURG CITY VA,fredericksburg city va
3187,FREEBORN MN,freeborn mn
3188,FREESTONE TX,freestone tx
3189,FREMONT CO,fremont co
3190,FREMONT IA,fremont ia
3191,FREMONT ID,fremont id
3192,FREMONT WY,fremont wy
3193,FRESNO CA,fresno ca
3194,FRIO TX,frio tx
3195,FRONTIER NE,frontier ne
3196,FULTON AR,fulton ar
3197,FULTON GA,fulton ga
3198,FULTON IL,fulton il
3199,FULTON IN,fulton
3200,FULTON KY,fulton ky
3201,FULTON NY,fulton ny
3202,FULTON OH,fulton oh
3203,FULTON PA,fulton pa
3204,FURNAS NE,furnas ne
3205,GADSDEN FL,gadsden fl
3206,GAGE NE,gage ne
3207,GAINES TX,gaines tx
3208,GALAX CITY VA,galax city va
3209,GALLATIN IL,gallatin il
3210,GALLATIN KY,gallatin ky
3211,GALLATIN MT,gallatin mt
3212,GALLIA OH,gallia oh
3213,GALVESTON TX,galveston tx
3214,GARDEN NE,garden ne
3215,GARFIELD CO,garfield co
3216,GARFIELD MT,garfield mt
3217,GARFIELD NE,garfield ne
3218,GARFIELD OK,garfield ok
3219,GARFIELD UT,garfield ut
3220,GARFIELD WA,garfield wa
3221,GARLAND AR,garland ar
3222,GARRARD KY,garrard ky
3223,GARRETT MD,garrett md
3224,GARVIN OK,garvin ok
3225,GARZA TX,garza tx
3226,GASCONADE MO,gasconade mo
3227,GASTON NC,gaston nc
3228,GATES NC,gate nc
3229,GEARY KS,geary k
3230,GEAUGA OH,geauga oh
3231,GEM ID,gem id
3232,GENESEE MI,genesee mi
3233,GENESEE NY,genesee ny
3234,GENEVA AL,geneva al
3235,GENTRY MO,gentry mo
3236,GEORGE MS,george m
3237,GEORGETOWN SC,georgetown sc
3238,GIBSON IN,gibson
3239,GIBSON TN,gibson tn
3240,GILA AZ,gila az
3241,GILCHRIST FL,gilchrist fl
3242,GILES TN,giles tn
3243,GILES VA,giles va
3244,GILLESPIE TX,gillespie tx
3245,GILLIAM OR,gilliam
3246,GILMER GA,gilmer ga
3247,GILMER WV,gilmer wv
3248,GILPIN CO,gilpin co
3249,GLACIER MT,glacier mt
3250,GLADES FL,glade fl
3251,GLADWIN MI,gladwin mi
3252,GLASCOCK GA,glascock ga
3253,GLASSCOCK TX,glasscock tx
3254,GLENN CA,glenn ca
3255,GLOUCESTER NJ,gloucester nj
3256,GLOUCESTER VA,gloucester va
3257,GLYNN GA,glynn ga
3258,GOGEBIC MI,gogebic mi
3259,GOLDEN VALLEY MT,golden valley mt
3260,GOLDEN VALLEY ND,golden valley nd
3261,GOLIAD TX,goliad tx
3262,GONZALES TX,gonzales tx
3263,GOOCHLAND VA,goochland va
3264,GOODHUE MN,goodhue mn
3265,GOODING ID,gooding id
3266,GORDON GA,gordon ga
3267,GOSHEN WY,goshen wy
3268,GOSPER NE,gosper ne
3269,GOVE KS,gove k
3270,GRADY GA,grady ga
3271,GRADY OK,grady ok
3272,GRAFTON NH,grafton nh
3273,GRAHAM AZ,graham az
3274,GRAHAM KS,graham k
3275,GRAHAM NC,graham nc
3276,GRAINGER TN,grainger tn
3277,GRAND FORKS ND,grand fork nd
3278,GRAND ISLE VT,grand isle vt
3279,GRAND TRAVERSE MI,grand traverse mi
3280,GRAND CO,grand co
3281,GRAND UT,grand ut
3282,GRANITE MT,granite mt
3283,GRANT AR,grant ar
3284,GRANT IN,grant
3285,GRANT KS,grant k
3286,GRANT KY,grant ky
3287,GRANT LA,grant la
3288,GRANT MN,grant mn
3289,GRANT ND,grant nd
3290,GRANT NE,grant ne
3291,GRANT NM,grant nm
3292,GRANT OK,grant ok
3293,GRANT OR,grant
3294,GRANT SD,grant sd
3295,GRANT WA,grant wa
3296,GRANT WI,grant wi
3297,GRANT WV,grant wv
3298,GRANVILLE NC,granville nc
3299,GRATIOT MI,gratiot mi
3300,GRAVES KY,graf ky
3301,GRAY KS,gray k
3302,GRAY TX,gray tx
3303,GRAYS HARBOR WA,gray harbor wa
3304,GRAYSON KY,grayson ky
3305,GRAYSON TX,grayson tx
3306,GRAYSON VA,grayson va
3307,GREELEY KS,greeley k
3308,GREELEY NE,greeley ne
3309,GREEN LAKE WI,green lake wi
3310,GREEN KY,green ky
3311,GREEN WI,green wi
3312,GREENBRIER WV,greenbrier wv
3313,GREENE AL,greene al
3314,GREENE AR,greene ar
3315,GREENE GA,greene ga
3316,GREENE IA,greene ia
3317,GREENE IL,greene il
3318,GREENE IN,greene
3319,GREENE MO,greene mo
3320,GREENE MS,greene m
3321,GREENE NC,greene nc
3322,GREENE NY,greene ny
3323,GREENE OH,greene oh
3324,GREENE PA,greene pa
3325,GREENE TN,greene tn
3326,GREENE VA,greene va
3327,GREENLEE AZ,greenlee az
3328,GREENSVILLE VA,greensville va
3329,GREENUP KY,greenup ky
3330,GREENVILLE SC,greenville sc
3331,GREENWOOD KS,greenwood k
3332,GREENWOOD SC,greenwood sc
3333,GREER OK,greer ok
3334,GREGG TX,gregg tx
3335,GREGORY SD,gregory sd
3336,GRENADA MS,grenada m
3337,GRIGGS ND,griggs nd
3338,GRIMES TX,grime tx
3339,GRUNDY IA,grundy ia
3340,GRUNDY IL,grundy il
3341,GRUNDY MO,grundy mo
3342,GRUNDY TN,grundy tn
3343,GUADALUPE NM,guadalupe nm
3344,GUADALUPE TX,guadalupe tx
3345,GUERNSEY OH,guernsey oh
3346,GUILFORD NC,guilford nc
3347,GULF FL,gulf fl
3348,GUNNISON CO,gunnison co
3349,GUTHRIE IA,guthrie ia
3350,GWINNETT GA,gwinnett ga
3351,HAAKON SD,haakon sd
3352,HABERSHAM GA,habersham ga
3353,HAINES AK,haines ak
3354,HALE AL,hale al
3355,HALE TX,hale tx
3356,HALIFAX NC,halifax nc
3357,HALIFAX VA,halifax va
3358,HALL GA,hall ga
3359,HALL NE,hall ne
3360,HALL TX,hall tx
3361,HAMBLEN TN,hamblen tn
3362,HAMILTON FL,hamilton fl
3363,HAMILTON IA,hamilton ia
3364,HAMILTON IL,hamilton il
3365,HAMILTON IN,hamilton
3366,HAMILTON KS,hamilton k
3367,HAMILTON NE,hamilton ne
3368,HAMILTON NY,hamilton ny
3369,HAMILTON OH,hamilton oh
3370,HAMILTON TN,hamilton tn
3371,HAMILTON TX,hamilton tx
3372,HAMLIN SD,hamlin sd
3373,HAMPDEN MA,hampden
3374,HAMPSHIRE MA,hampshire
3375,HAMPSHIRE WV,hampshire wv
3376,HAMPTON CITY VA,hampton city va
3377,HAMPTON SC,hampton sc
3378,HANCOCK GA,hancock ga
3379,HANCOCK IA,hancock ia
3380,HANCOCK IL,hancock il
3381,HANCOCK IN,hancock
3382,HANCOCK KY,hancock ky
3383,HANCOCK ME,hancock
3384,HANCOCK MS,hancock m
3385,HANCOCK OH,hancock oh
3386,HANCOCK TN,hancock tn
3387,HANCOCK WV,hancock wv
3388,HAND SD,hand sd
3389,HANOVER VA,hanover va
3390,HANSFORD TX,hansford tx
3391,HANSON SD,hanson sd
3392,HARALSON GA,haralson ga
3393,HARDEE FL,hardee fl
3394,HARDEMAN TN,hardeman tn
3395,HARDEMAN TX,hardeman tx
3396,HARDIN IA,hardin ia
3397,HARDIN IL,hardin il
3398,HARDIN KY,hardin ky
3399,HARDIN OH,hardin oh
3400,HARDIN TN,hardin tn
3401,HARDIN TX,hardin tx
3402,HARDING NM,harding nm
3403,HARDING SD,harding sd
3404,HARDY WV,hardy wv
3405,HARFORD MD,harford md
3406,HARLAN KY,harlan ky
3407,HARLAN NE,harlan ne
3408,HARMON OK,harmon ok
3409,HARNETT NC,harnett nc
3410,HARNEY OR,harney
3411,HARPER KS,harper k
3412,HARPER OK,harper ok
3413,HARRIS GA,harris ga
3414,HARRIS TX,harris tx
3415,HARRISON IA,harrison ia
3416,HARRISON IN,harrison
3417,HARRISON KY,harrison ky
3418,HARRISON MO,harrison mo
3419,HARRISON MS,harrison m
3420,HARRISON OH,harrison oh
3421,HARRISON TX,harrison tx
3422,HARRISON WV,harrison wv
3423,HARRISONBURG CITY VA,harrisonburg city va
3424,HART GA,hart ga
3425,HART KY,hart ky
3426,HARTFORD CT,hartford ct
3427,HARTLEY TX,hartley tx
3428,HARVEY KS,harvey k
3429,HASKELL KS,haskell k
3430,HASKELL OK,haskell ok
3431,HASKELL TX,haskell tx
3432,HAWAII HI,hawaii hi
3433,HAWKINS TN,hawkins tn
3434,HAYES NE,hayes ne
3435,HAYS TX,hay tx
3436,HAYWOOD NC,haywood nc
3437,HAYWOOD TN,haywood tn
3438,HEARD GA,heard ga
3439,HEMPHILL TX,hemphill tx
3440,HEMPSTEAD AR,hempstead ar
3441,HENDERSON IL,henderson il
3442,HENDERSON KY,henderson ky
3443,HENDERSON NC,henderson nc
3444,HENDERSON TN,henderson tn
3445,HENDERSON TX,henderson tx
3446,HENDRICKS IN,hendricks
3447,HENDRY FL,hendry fl
3448,HENNEPIN MN,hennepin mn
3449,HENRICO VA,henrico va
3450,HENRY AL,henry al
3451,HENRY GA,henry ga
3452,HENRY IA,henry ia
3453,HENRY IL,henry il
3454,HENRY IN,henry
3455,HENRY KY,henry ky
3456,HENRY MO,henry mo
3457,HENRY OH,henry oh
3458,HENRY TN,henry tn
3459,HENRY VA,henry va
3460,HERKIMER NY,herkimer ny
3461,HERNANDO FL,hernando fl
3462,HERTFORD NC,hertford nc
3463,HETTINGER ND,hettinger nd
3464,HICKMAN KY,hickman ky
3465,HICKMAN TN,hickman tn
